group_by,group_by_zh,group_value,samples,feasible_samples,feasible_rate,global_pareto_samples,best_latency_ns,best_energy_nj,best_area_um2,best_accuracy,mean_accuracy
adc_choice,ADC档位,4,12,12,1.0,4,4430024.989793121,3193060.1506895665,894254493.5562104,0.9345703125,0.9270833333333334
adc_choice,ADC档位,6,12,12,1.0,0,4430024.989793121,3193060.1506895665,1006013853.5562103,0.9345703125,0.92529296875
inter_tile_bw,片间带宽,80,24,24,1.0,4,4430024.989793121,3193060.1506895665,894254493.5562104,0.9345703125,0.9261881510416666
pe_num,PE阵列规模,2x2,12,12,1.0,4,4430024.989793121,3193060.1506895665,894254493.5562104,0.9345703125,0.9229329427083334
pe_num,PE阵列规模,4x4,12,12,1.0,0,14995379.256951638,5309737.221154697,1078847382.6426022,0.9345703125,0.929443359375
rram_preset,RRAM器件预设,P0,8,8,1.0,0,4430024.989793121,3196862.6607138305,894254493.5562104,0.9345703125,0.932373046875
rram_preset,RRAM器件预设,P1,8,8,1.0,2,4430024.989793121,3193060.1506895665,894254493.5562104,0.93359375,0.9266357421875
rram_preset,RRAM器件预设,P2,8,8,1.0,2,4430024.989793121,3193060.1506895665,894254493.5562104,0.9345703125,0.9195556640625
tile_connection,Tile连接方式,2,24,24,1.0,4,4430024.989793121,3193060.1506895665,894254493.5562104,0.9345703125,0.9261881510416666
xbar_size,交叉阵列尺寸,128x128,12,12,1.0,2,4430024.989793121,9447367.799596138,2354348727.1181145,0.9345703125,0.9235026041666666
xbar_size,交叉阵列尺寸,512x512,12,12,1.0,2,5997133.2533934815,3193060.1506895665,894254493.5562104,0.9345703125,0.9288736979166666
