matrix_name,matrix_point_id,matrix_purpose,rram_preset,xbar_size,adc_choice,dac_num,xbar_polarity,sub_position,group_num,pe_num,tile_connection,inter_tile_bw
B,B_001,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P1,128x128,6,32,2,0,1,2x2,2,80
B,B_002,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P1,128x128,6,32,2,1,1,2x2,2,80
B,B_003,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P1,128x128,6,128,2,0,1,2x2,2,80
B,B_004,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P1,128x128,6,128,2,1,1,2x2,2,80
B,B_005,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P1,512x512,6,32,2,0,1,2x2,2,80
B,B_006,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P1,512x512,6,32,2,1,1,2x2,2,80
B,B_007,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P1,512x512,6,128,2,0,1,2x2,2,80
B,B_008,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P1,512x512,6,128,2,1,1,2x2,2,80
B,B_009,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P2,128x128,6,32,2,0,1,2x2,2,80
B,B_010,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P2,128x128,6,32,2,1,1,2x2,2,80
B,B_011,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P2,128x128,6,128,2,0,1,2x2,2,80
B,B_012,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P2,128x128,6,128,2,1,1,2x2,2,80
B,B_013,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P2,512x512,6,32,2,0,1,2x2,2,80
B,B_014,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P2,512x512,6,32,2,1,1,2x2,2,80
B,B_015,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P2,512x512,6,128,2,0,1,2x2,2,80
B,B_016,接口补偿矩阵：观察 DAC 与减法位置是否补偿器件退化,P2,512x512,6,128,2,1,1,2x2,2,80
