candidate_index,scenario_name,mode,adc_choice,dac_num,group_num,inter_tile_bw,pe_num,rram_preset,sub_position,tile_connection,xbar_polarity,xbar_size,matched,mean_accuracy,worst_accuracy,scenario_yield,latency_ns,energy_nj,area_um2
1,meas_cycle_strong,raw,4,32,1,80,2x2,P0,1,2,2,128x128,1,0.9453125,0.9453125,1.0,4430024.989793121,9452907.30945102,2426702222.653233
1,meas_cycle_weak,raw,4,32,1,80,2x2,P0,1,2,2,128x128,1,0.9453125,0.9453125,1.0,4430024.989793121,9452907.30945102,2426702222.653233
2,meas_cycle_strong,raw,4,32,1,80,2x2,P0,1,2,2,512x512,1,0.951171875,0.951171875,1.0,5997133.2533934815,3196862.6607138305,894254493.5562104
2,meas_cycle_weak,raw,4,32,1,80,2x2,P0,1,2,2,512x512,1,0.951171875,0.951171875,1.0,5997133.2533934815,3196862.6607138305,894254493.5562104
3,meas_cycle_strong,raw,4,32,1,80,2x2,P1,1,2,2,128x128,1,0.927734375,0.927734375,1.0,4430024.989793121,9447367.799596138,2426702222.653233
3,meas_cycle_weak,raw,4,32,1,80,2x2,P1,1,2,2,128x128,1,0.927734375,0.927734375,1.0,4430024.989793121,9447367.799596138,2426702222.653233
4,meas_cycle_strong,raw,4,32,1,80,2x2,P1,1,2,2,512x512,1,0.939453125,0.939453125,1.0,5997133.2533934815,3193060.1506895665,894254493.5562104
4,meas_cycle_weak,raw,4,32,1,80,2x2,P1,1,2,2,512x512,1,0.939453125,0.939453125,1.0,5997133.2533934815,3193060.1506895665,894254493.5562104
5,meas_cycle_strong,raw,4,32,1,80,2x2,P2,1,2,2,128x128,1,0.943359375,0.943359375,1.0,4430024.989793121,9447367.799596138,2426702222.653233
5,meas_cycle_weak,raw,4,32,1,80,2x2,P2,1,2,2,128x128,1,0.943359375,0.943359375,1.0,4430024.989793121,9447367.799596138,2426702222.653233
6,meas_cycle_strong,raw,4,32,1,80,2x2,P2,1,2,2,512x512,1,0.94140625,0.94140625,1.0,5997133.2533934815,3193060.1506895665,894254493.5562104
6,meas_cycle_weak,raw,4,32,1,80,2x2,P2,1,2,2,512x512,1,0.94140625,0.94140625,1.0,5997133.2533934815,3193060.1506895665,894254493.5562104
7,meas_cycle_strong,raw,4,32,1,80,4x4,P0,1,2,2,128x128,1,0.939453125,0.939453125,1.0,14995379.256951638,14239571.045382822,2354348727.1181145
7,meas_cycle_weak,raw,4,32,1,80,4x4,P0,1,2,2,128x128,1,0.939453125,0.939453125,1.0,14995379.256951638,14239571.045382822,2354348727.1181145
8,meas_cycle_strong,raw,4,32,1,80,4x4,P0,1,2,2,512x512,1,0.947265625,0.947265625,1.0,17346484.969408944,5314097.757484067,1078847382.6426022
8,meas_cycle_weak,raw,4,32,1,80,4x4,P0,1,2,2,512x512,1,0.947265625,0.947265625,1.0,17346484.969408944,5314097.757484067,1078847382.6426022
9,meas_cycle_strong,raw,4,32,1,80,4x4,P1,1,2,2,128x128,1,0.935546875,0.935546875,1.0,14995379.256951638,14234031.53552794,2354348727.1181145
9,meas_cycle_weak,raw,4,32,1,80,4x4,P1,1,2,2,128x128,1,0.935546875,0.935546875,1.0,14995379.256951638,14234031.53552794,2354348727.1181145
10,meas_cycle_strong,raw,4,32,1,80,4x4,P1,1,2,2,512x512,1,0.939453125,0.939453125,1.0,17346484.969408944,5309737.221154697,1078847382.6426022
10,meas_cycle_weak,raw,4,32,1,80,4x4,P1,1,2,2,512x512,1,0.939453125,0.939453125,1.0,17346484.969408944,5309737.221154697,1078847382.6426022
11,meas_cycle_strong,raw,4,32,1,80,4x4,P2,1,2,2,128x128,1,0.908203125,0.908203125,1.0,14995379.256951638,14234031.53552794,2354348727.1181145
11,meas_cycle_weak,raw,4,32,1,80,4x4,P2,1,2,2,128x128,1,0.908203125,0.908203125,1.0,14995379.256951638,14234031.53552794,2354348727.1181145
12,meas_cycle_strong,raw,4,32,1,80,4x4,P2,1,2,2,512x512,1,0.8984375,0.8984375,1.0,17346484.969408944,5309737.221154697,1078847382.6426022
12,meas_cycle_weak,raw,4,32,1,80,4x4,P2,1,2,2,512x512,1,0.896484375,0.896484375,1.0,17346484.969408944,5309737.221154697,1078847382.6426022
