robust_rank,candidate_index,scenario_count,matched_scenarios,mean_accuracy,std_accuracy,worst_accuracy,mean_yield,mean_latency_ns,mean_energy_nj,mean_area_um2,adc_choice,dac_num,group_num,inter_tile_bw,pe_num,rram_preset,sub_position,tile_connection,xbar_polarity,xbar_size
1,2,2,2,0.951171875,0.0,0.951171875,1.0,5997133.2533934815,3196862.6607138305,894254493.5562104,4,32,1,80,2x2,P0,1,2,2,512x512
2,8,2,2,0.947265625,0.0,0.947265625,1.0,17346484.969408944,5314097.757484067,1078847382.6426022,4,32,1,80,4x4,P0,1,2,2,512x512
3,1,2,2,0.9453125,0.0,0.9453125,1.0,4430024.989793121,9452907.30945102,2426702222.653233,4,32,1,80,2x2,P0,1,2,2,128x128
4,5,2,2,0.943359375,0.0,0.943359375,1.0,4430024.989793121,9447367.799596138,2426702222.653233,4,32,1,80,2x2,P2,1,2,2,128x128
5,6,2,2,0.94140625,0.0,0.94140625,1.0,5997133.2533934815,3193060.1506895665,894254493.5562104,4,32,1,80,2x2,P2,1,2,2,512x512
6,4,2,2,0.939453125,0.0,0.939453125,1.0,5997133.2533934815,3193060.1506895665,894254493.5562104,4,32,1,80,2x2,P1,1,2,2,512x512
7,10,2,2,0.939453125,0.0,0.939453125,1.0,17346484.969408944,5309737.221154697,1078847382.6426022,4,32,1,80,4x4,P1,1,2,2,512x512
8,7,2,2,0.939453125,0.0,0.939453125,1.0,14995379.256951638,14239571.045382822,2354348727.1181145,4,32,1,80,4x4,P0,1,2,2,128x128
9,9,2,2,0.935546875,0.0,0.935546875,1.0,14995379.256951638,14234031.53552794,2354348727.1181145,4,32,1,80,4x4,P1,1,2,2,128x128
10,3,2,2,0.927734375,0.0,0.927734375,1.0,4430024.989793121,9447367.799596138,2426702222.653233,4,32,1,80,2x2,P1,1,2,2,128x128
11,11,2,2,0.908203125,0.0,0.908203125,1.0,14995379.256951638,14234031.53552794,2354348727.1181145,4,32,1,80,4x4,P2,1,2,2,128x128
12,12,2,2,0.8974609375,0.0009765625,0.896484375,1.0,17346484.969408944,5309737.221154697,1078847382.6426022,4,32,1,80,4x4,P2,1,2,2,512x512
