source,choice_or_enob,bits,power_mw,area_um2,rate_gsps,latency_ns,energy_fj
mnsim_lookup,1,10,6.92,1600,1.5,8.0,55360.0
mnsim_lookup,2,8,2.0,1200,1.28,7.8125,15625.0
mnsim_lookup,3,8,4.0,1650,1.1,9.0909,36363.636
mnsim_lookup,4,6,1.26,580,1.0,8.0,10080.0
mnsim_lookup,5,8,4.0,1650,1.1,9.0909,36363.636
mnsim_lookup,6,6,1.26,1650,1.0,8.0,10080.0
mnsim_lookup,7,4,0.7,500,1.0,6.0,4200.0
mnsim_lookup,8,1,0.0016,1,1.0,1.0,1.629
mnsim_lookup,9,8,0.0584,15899,6.0,42.6667,2491.733
walden_parametric,8.0,8.0,5.12,2048.0,1.0,10.0,5120.0
