architecture,era,n_power,n_area,fomw_fj_median,fomw_fj_p25,fomw_fj_p75,foma_um2_median,foma_um2_p25,foma_um2_p75
SAR,legacy,37,36,31.355717459161177,11.599371020416875,54.26215708944154,1.2560351038486965,0.035541623560307115,8.710556028202316
"SAR, TI",legacy,21,20,433.27588607263755,129.51614438814292,736.3096056328029,8469.80615795555,2527.102252589509,78239.14805839694
Pipe,legacy,84,82,798.958947120066,280.6406039115657,2848.992526842068,110.740298774136,27.077024778676233,269.3435458113222
Two-Step,legacy,8,8,1521.30203562735,934.0242283643381,3572.1314404310788,102.2497346529679,54.860839978986576,411.93881799969205
"Pipe, TI",legacy,19,18,3111.3555721233647,671.7478744464922,11181.281842479544,2980.9406532277408,2013.697183871539,10160.135371224145
Folding,legacy,16,16,4042.574103459811,2578.8113220974733,9203.436202134892,929.5627325795356,209.63223481433022,4048.988870939829
Flash,legacy,23,23,5431.366309599128,437.58088326635766,9965.302066742075,6209.4493912982825,2950.2725001049566,36320.97539462893
"Pipe, SAR",modern,21,21,6.157038570013642,4.008870776761312,12.80377243640285,0.8721586791785093,0.4496551789708935,8.514445767280199
"SAR, Pipe",modern,10,10,13.477013927197776,5.820829026332085,30.247239417463433,3.746127704773852,1.7758699196385659,9.648062591748758
SAR,modern,37,32,20.356254829535946,4.432733012508981,78.59999999999997,0.23675876788064382,0.02387199111543154,1.9672747600706757
Pipe,modern,11,10,21.722409498576994,13.044637317995745,42.15640063045503,145.882871923474,36.44439344099874,619.1448985955241
"Pipe, SAR, TI",modern,9,9,53.726858288081154,20.368952342172534,181.92832591456408,6947.308640369715,70.25619374158585,13644.624443592305
"SAR, TI",modern,37,29,64.22555113685725,25.562370282732097,145.99767650412366,7747.898862325919,859.0278732382695,96271.56394766302
"Pipe, TI",modern,12,11,153.92698354804187,32.63787151746578,421.72542140256695,6952.351078163303,765.2483891061503,68283.14641530348
